云尚品维护,#genre#
卡顿右键换源,http://

电影轮播,#genre#
【经典巨制】欧美大片,https://openhls-tct.douyucdn2.cn/dyliveflv3/2793084rV8789IWM_2000.m3u8

科幻动作灾难,https://openhls-tct.douyucdn2.cn/dyliveflv1/252802rCnFqY6xFH_2000.m3u8

60帧科幻动作经典,https://openhls-tct.douyucdn2.cn/dyliveflv3a/263824roKGV4k0HK_2000.m3u8

欧美日韩国产2号厅,https://openhls-tct.douyucdn2.cn/dyliveflv3a/310926rMZSAC7ztR_2000.m3u8

✨科幻动作经典喜剧,https://openhls-tct.douyucdn2.cn/dyliveflv3a/263824roKGV4k0HK_2000.m3u8

60帧蓝光原画,https://openhls-tct.douyucdn2.cn/dyliveflv1/323876r0Su9reitz_2000.m3u8

❤️僵尸 丧尸灾难片,https://openhls-tct.douyucdn2.cn/dyliveflv1a/4332rtVsMsBTp3NU_2000.m3u8

❤️恐怖丧尸 鬼片灾难科幻,https://openhls-tct.douyucdn2.cn/dyliveflv1/323876r0Su9reitz_2000.m3u8

❤️丧尸 鬼片 恐怖 惊悚,https://openhls-tct.douyucdn2.cn/dyliveflv1/323876r0Su9reitz_2000.m3u8

❤️惊悚 爽 逃,https://openhls-tct.douyucdn2.cn/dyliveflv3a/310926rMZSAC7ztR_2000.m3u8

❤️今天2倍亲密度哟,https://openhls-tct.douyucdn2.cn/dyliveflv1/323876r0Su9reitz_2000.m3u8

❤️林正英僵尸道长,https://openhls-tct.douyucdn2.cn/dyliveflv1/36337r71XoQRYDs9_2000.m3u8

❤️林正英僵尸 女鬼,https://openhls-tct.douyucdn2.cn/dyliveflv3/7356023rUg8KHhxM_2000.m3u8

央视频道,#genre#
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV1,http://221.213.43.82:8888/newlive/live/hls/2/live.m3u8
CCTV1,http://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV1,http://222.71.90.218:8888/newlive/live/hls/2/live.m3u8

CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2,http://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV2,http://221.213.43.82:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8

CCTV3,http://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV3,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV3,http://221.213.43.82:8888/newlive/live/hls/4/live.m3u8

CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV4,http://221.213.43.82:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?

CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5,http://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://221.213.43.82:8888/newlive/live/hls/6/live.m3u8

CCTV5+,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV5+,http://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV5+,http://221.213.43.82:8888/newlive/live/hls/7/live.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV5+,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?

CCTV6,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV6,http://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV6,http://222.71.90.218:8888/newlive/live/hls/7/live.m3u8
CCTV6,http://221.213.43.82:8888/newlive/live/hls/8/live.m3u8

